City,City Code,Country,Region,Continent,Development,Latitude,Longitude,City 2,Country 2,Population,Prices excl. rent (index),Prices incl. rent (index),Gross wages (index),Net wages (index),Working hours per year,Vacation per year,Gross domestic purchasing power,Net domestic purchasing power,Working time required to buy 1 hamburger,Working time required to buy 1 kg of bread,Working time required to buy 1 kg of rice,Total expenditure on goods and services (USD),Total expenditure on goods and services (index),Food prices (USD),Food prices (index),Prices of women's expensive clothing,Prices of women's medium clothing,Prices of women's cheap clothing,Prices of men's expensive clothing,Prices of men's medium clothing,Prices of men's cheap clothing,Furnished expensive 4-room apartment,Furnished medium 4-room apartment,Furnished cheap 4-room apartment,Unfurnished expensive 3-room apartment,Unfurnished medium 3-room apartment,Unfurnished cheap 3-room apartment,Normal local rent medium,Price of household appliances (USD),Price of household appliances (index),Bus or tram or underground,Taxi ,Medium-sized cars type,Medium-sized cars price,Medium-sized cars tax,Medium-sized cars service,Restaurant,Hotel,Price of a short break (USD),Price of a short break (index),Prices of services (USD),Prices of services (index),Gross hourly wages,Net hourly wages,Taxes and social security contributions,Primary school teachers gross income (USD),Primary school teachers gross income (index),Primary school teachers taxes and social security contribtions,Primary school teachers net income (USD),Primary school teachers weekly working hours,Primary school teachers paid working days vacation per year,Bus drivers gross income (USD),Bus drivers gross income (index),Bus drivers taxes and social security contribtions,Bus drivers net income (USD),Bus drivers weekly working hours,Bus drivers paid working days vacation per year,Automobile mechanics gross income (USD),Automobile mechanics gross income (index),Automobile mechanics taxes and social security contribtions,Automobile mechanics net income (USD),Automobile mechanics weekly working hours,Automobile mechanics paid working days vacation per year,Building labourers gross income (USD),Building labourers gross income (index),Building labourers taxes and social security contribtions,Building labourers net income (USD),Building labourers weekly working hours,Building labourers paid working days vacation per year,Skilled industrial workers gross income (USD),Skilled industrial workers gross income (index),Skilled industrial workers taxes and social security contribtions,Skilled industrial workers net income (USD),Skilled industrial workers weekly working hours,Skilled industrial workers paid working days vacation per year,Cooks gross income (USD),Cooks gross income (index),Cooks taxes and social security contribtions,Cooks net income (USD),Cooks weekly working hours,Cooks paid working days vacation per year,Department managers gross income (USD),Department managers gross income (index),Department managers taxes and social security contribtions,Department managers net income (USD),Department managers weekly working hours,Department managers paid working days vacation per year,Engineers gross income (USD),Engineers gross income (index),Engineers taxes and social security contribtions,Engineers net income (USD),Engineers weekly working hours,Engineers paid working days vacation per year,Bank credit clerks gross income (USD),Bank credit clerks gross income (index),Bank credit clerks taxes and social security contribtions,Bank credit clerks net income (USD),Bank credit clerks weekly working hours,Bank credit clerks paid working days vacation per year,Secretaries gross income (USD),Secretaries gross income (index),Secretaries taxes and social security contribtions,Secretaries net income (USD),Secretaries weekly working hours,Secretaries paid working days vacation per year,Saleswomen gross income (USD),Saleswomen gross income (index),Saleswomen taxes and social security contribtions,Saleswomen net income (USD),Saleswomen weekly working hours,Saleswomen paid working days vacation per year,Female industrial workers gross income (USD),Female industrial workers gross income (index),Female industrial workers taxes and social security contribtions,Female industrial workers net income (USD),Female industrial workers weekly working hours,Female industrial workers paid working days vacation per year,National currency,Exchange rate CHF/NC ,Exchange rate USD/NC ,Currency
Abu Dhabi,AUH,United Arab Emirates,Asia,Middle East,Developing,"24,467","54,367",Abu Dhabi,United Arab Emirates,243000,72.5,83.6,33.7,45.9,2192.0,29.0,46.5,63.2,37,15,19,1194,72.5,393,80.9,1060,730,510,1720,1020,600,5710,3380,1670,2320,1200,730,790,1330,69.0,Jan-37,01-Apr,Toyota Carola 1.8 GL,13400,27,41,25,230,400,66.1,250,66.3,06-Jul,06-Jul,0.0,21400,35.3,0,21400,35,75,12500,24-Jun,0,12500,35,38,10000,29-Jul,0,10000,48,26,3200,11-Apr,0,3200,48,26,12200,26-May,0,12200,48,26,28900,80.0,0,28900,48,26,68500,68.9,0,68500,48,26,43400,66.9,0,43400,48,26,35700,51.7,0,35700,48,26,17900,45.8,0,17900,45,26,15400,54.0,0,15400,48,26,NaN,NaN,NaN,NaN,NaN,NaN,1 AED,0.45577,0.27432,AED
Amsterdam,AMS,Netherlands,Europe,Western Europe,Industrialized,"52,383",04-Sep,Amsterdam,Netherlands,998000,74.2,76.5,63.7,59.0,1686.0,31.0,86.0,79.5,16,10,10,1221,74.2,332,68.4,670,410,280,1070,710,480,2990,1710,1070,1760,1130,720,390,1480,76.9,Jan-37,Oct-67,Opel Astra 1.6,14700,353,128,28,290,490,81.3,280,74.7,08-Jul,12-Jul,31.2,26300,43.3,33,17600,34,55,23800,46.9,31,16400,36,24,18200,53.9,31,12500,40,31,21400,75.7,32,14500,38,35,26800,58.0,33,17900,36,25,24800,68.5,34,16300,39,25,65200,65.6,43,37100,40,26,41000,63.3,38,25400,35,25,25100,36.3,32,17100,36,26,20900,53.5,32,14200,40,26,15200,53.1,27,11100,38,25,17100,68.8,30,12000,38,38,1 NLG,0.70908,0.42677,NLG
Athens,ATH,Greece,Europe,Western Europe,Industrialized,"37,967","23,717",Athens,Greece,3468000,63.4,62.7,31-Jul,33.6,1780.0,23-Jul,50.0,53.0,20,10,22,1043,63.4,246,50.7,480,330,250,850,630,470,1150,950,610,670,530,360,320,1920,99.4,0.63,Mar-63,Nissan Primera 1.6,12900,126,56,27,220,390,64.0,250,66.0,04-Sep,06-Mar,21-Mar,13800,22-Aug,21,10900,35,61,16500,32.6,25,12400,38,23,10000,29-Jun,21,7900,40,21,10600,37.5,22,8300,38,21,13000,28-Mar,20,10400,40,23,14600,40.3,26,10800,38,22,34800,35.1,32,23700,40,25,21800,33.6,29,15500,40,23,14900,21-Jun,24,11300,39,23,11200,28-May,22,8700,40,21,7500,26-Feb,19,6100,40,22,8800,35.2,20,7000,40,21,1 GRD,0.00464,0.0028,GRD
Auckland,AKL,New Zealand,Oceania,Oceania,Industrialized,-36.85,174.75,Auckland,New Zealand,821000,69.4,71.3,42.2,45.5,1873.0,20.0,60.8,65.6,15,9,7,1142,69.4,288,59.3,1310,680,330,2130,1010,600,2140,1370,940,1250,770,550,560,1790,92.9,01-Feb,Apr-34,Toyota Corolla 1.8 GL,14800,98,47,22,130,280,46.8,230,61.7,06-Jul,08-Apr,20-Mar,20300,33.4,20,16200,39,65,13800,27-Jan,20,11000,39,20,15200,45.0,20,12100,41,18,15200,53.7,20,12100,44,18,22600,49.0,22,17600,41,18,17800,49.3,20,14300,39,18,34200,34.5,26,25300,40,18,26600,41.0,24,20200,40,18,17100,24-Aug,20,13700,38,20,15200,38.9,20,12200,39,18,12400,43.4,20,9900,38,18,10800,43.5,20,8700,40,18,1 NZD,0.78969,0.47529,NZD
Bangkok,BKK,Thailand,Asia,East Asia,Developing,13.75,100.5,Bangkok,Thailand,5791000,55.0,55.0,10-Jun,13-Mar,2092.0,12.0,19-Mar,24-Feb,43,23,14,906,55.0,288,59.4,330,190,80,670,380,240,2690,1520,890,1080,720,450,100,1570,81.6,0.52,Jan-17,Toyota Soluna 1.5,10300,65,NaN,21,150,280,46.2,170,44.5,2.0,02-Jan,6.0,5200,08-Jun,7,4900,30,80,3800,07-May,4,3600,48,10,4500,13-Feb,6,4200,48,10,1700,6.0,4,1600,48,0,7100,15-Apr,9,6500,43,10,7400,20-Apr,10,6600,48,10,15700,15-Aug,13,13700,43,10,11100,17-Feb,11,9900,43,10,9000,13.0,10,8100,40,10,5700,14-May,8,5200,40,10,2200,07-Aug,4,2100,45,10,1600,06-Mar,4,1500,43,10,1 THB,0.04309,0.02594,THB
Barcelona,BCN,Spain,Europe,Western Europe,Industrialized,"41,383",Feb-15,Barcelona,Spain,4163000,57.0,58.6,37.6,42.4,1729.0,31.0,65.9,74.4,20,9,9,939,57.0,233,48.0,640,300,180,1110,690,350,1300,990,660,920,610,490,440,1690,87.7,0.81,Mar-96,Seat Toledo TDI,13600,66,102,20,270,400,66.3,200,54.0,06-Feb,07-May,16-Jan,19100,31.4,20,15300,38,50,14600,28-Aug,18,12000,40,30,13100,38.8,17,10900,40,30,11000,38.8,15,9300,40,30,13000,28-Feb,17,10800,40,30,19200,53.2,20,15400,40,30,25000,25-Feb,22,19500,40,30,28900,44.5,23,22200,40,30,19200,27-Aug,20,15400,38,30,14600,37.2,18,11900,40,30,10000,35.0,14,8600,40,30,8900,35.9,12,7900,40,30,1 ESP,0.00939,0.00565,ESP
Berlin,BER,Germany,Europe,Western Europe,Industrialized,52.5,"13,417",Berlin,Germany,3022000,70.4,71.6,70.3,58.8,1666.0,31.2,99.7,83.5,17,10,11,1160,70.4,287,59.1,550,320,150,830,490,270,1780,1370,1030,910,710,440,540,1680,87.2,Jan-88,Sep-38,VW Golf IV,16600,91,96,25,230,450,74.4,270,70.4,08-Jun,14.0,37.7,31900,52.4,40,19100,38,59,23500,46.3,36,15000,43,29,21700,64.3,38,13400,37,29,20600,72.9,37,13000,39,29,26300,57.1,38,16300,35,30,28900,80.0,42,16800,39,26,56400,56.8,51,27600,40,28,43900,67.7,45,24100,40,27,37200,53.9,43,21200,39,30,25400,64.9,40,15200,39,29,19900,69.6,37,12500,38,31,16600,66.7,33,11100,36,30,1 DEM,0.79893,0.48085,DEM
Bogota,BOG,Colombia,Americas,South America,Developing,"-4,533",-74.25,Bogota,Colombia,5710000,54.1,54.8,12-Jun,15-Jul,2182.0,16-Sep,23-Mar,29-Jan,57,29,15,890,54.1,214,44.1,450,280,150,540,370,220,1850,1190,750,910,570,350,290,1660,86.1,0.39,Jan-77,Mazda 626 2.0,21500,312,50,17,180,300,50.0,190,50.6,02-Mar,02-May,06-Jul,3800,06-Feb,6,3600,45,53,4800,09-May,6,4500,54,15,5400,16.0,6,5100,46,15,2400,08-Mar,6,2200,48,15,5300,11-Jun,6,5000,48,15,14700,40.7,13,12800,48,15,23000,23-Feb,16,19300,46,15,15800,24-Mar,14,13600,45,15,12800,18-May,11,11400,44,15,8600,21-Sep,7,8000,44,15,3200,11-Jan,6,3000,49,15,3100,12-Apr,6,2900,48,15,1 COP,8.1E-4,4.9E-4,COP
Brussels,BRU,Belgium,Europe,Western Europe,Industrialized,"50,833","4,333",Brussels,Belgium,982000,69.5,71.8,70.5,53.5,1712.0,25-Jan,101.4,77.0,21,13,17,1145,69.5,295,60.7,960,580,320,1230,790,430,1460,1050,700,700,580,470,700,1710,88.6,Jan-17,May-83,VW Golf Diesel 1.9,16300,399,117,21,290,430,70.8,270,70.5,07-Sep,14-Jan,43.2,24000,39.4,41,14100,34,88,22700,44.7,40,13600,38,21,18500,54.8,42,10700,38,20,21600,76.5,43,12300,38,22,30700,66.6,44,17200,38,22,38200,105.8,52,18400,38,21,72300,72.8,57,31100,38,25,52400,80.8,53,24600,38,22,37100,53.6,47,19600,37,25,25600,65.5,44,14300,37,22,18600,65.0,42,10800,38,22,17400,69.9,41,10300,38,22,1 BEF,0.03873,0.02331,BEF
Budapest,BUD,Hungary,Europe,Eastern Europe,Transition,47.5,"19,083",Budapest,Hungary,2301000,45.6,53.7,06-May,06-Mar,1988.0,23-Aug,14-Mar,13-Sep,82,25,42,750,45.6,153,31.4,390,210,110,760,390,210,2630,1810,910,1810,800,580,330,1300,67.5,0.36,Apr-19,Opel Astra 1.8 Club,14700,15,80,14,250,400,66.0,140,38.0,0.9,01-Mar,26-Sep,2400,03-Sep,25,1800,42,51,3100,6.0,30,2100,43,33,2800,08-Apr,30,2000,41,20,2000,07-Feb,25,1500,44,21,3100,06-Jul,30,2200,41,26,2000,05-Jul,25,1500,43,27,7200,07-Feb,44,4000,41,27,5100,07-Sep,40,3100,41,25,4700,06-Sep,39,2900,41,24,3100,8.0,32,2100,41,20,1800,06-Feb,19,1400,43,20,2100,08-Apr,25,1600,41,22,1 HUF,0.00602,0.00363,HUF
