Country,Year,Generosity,Perceptions of corruption,Positive affect,Negative affect
Austria,2019,0.06,7.37,12.54,3.25
Belgium,2019,-2.52,11.12,12.13,4.04
Brazil,2019,-1.02,12.42,12.41,5.37
Canada,2019,1.52,7.16,13.42,4.45
China,2019,-2.53,,14.51,2.27
Croatia,2019,-2.17,15.32,9.11,4.29
Denmark,2019,0.02,2.54,14.22,3.01
Egypt,2019,-3.19,,8.37,5.13
France,2019,-2.13,9.28,12.15,0.25
Germany,2019,0.57,7.42,12.31,3.46
Hungary,2019,-3.15,14.44,12.23,0.18
Portugal,2019,-3.54,15.15,1.11,0.3
United Kingdom,2019,4.31,8.05,12.55,4.11
